Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
5/29/2017 18:36,5/29/2017 18:49,780,Columbus Dr & Randolph St,Federal St & Polk St,Subscriber,Male,1991
6/12/2017 19:00,6/12/2017 19:24,1429,Kingsbury St & Erie St,Orleans St & Merchandise Mart Plaza,Customer,,
2/13/2017 17:02,2/13/2017 17:20,1088,Canal St & Madison St,Paulina Ave & North Ave,Subscriber,Female,1982
4/24/2017 18:39,4/24/2017 18:54,914,Spaulding Ave & Armitage Ave,California Ave & Milwaukee Ave,Subscriber,Male,1966
1/26/2017 15:36,1/26/2017 15:43,434,Clark St & Randolph St,Financial Pl & Congress Pkwy,Subscriber,Female,1983
6/21/2017 9:43,6/21/2017 10:01,1057,Ogden Ave & Race Ave,Franklin St & Monroe St,Subscriber,Female,1981
4/24/2017 8:33,4/24/2017 8:38,316,Clinton St & Washington Blvd,Morgan St & Lake St,Subscriber,Male,1986
3/21/2017 7:23,3/21/2017 7:33,559,Canal St & Adams St,Michigan Ave & Lake St,Subscriber,Male,1969
1/14/2017 12:16,1/14/2017 12:58,2517,Wentworth Ave & Archer Ave,Franklin St & Jackson Blvd,Customer,,
4/6/2017 9:15,4/6/2017 9:22,379,Canal St & Madison St,Clark St & Lake St,Subscriber,Male,1982
6/13/2017 17:02,6/13/2017 17:08,333,State St & Kinzie St,Stetson Ave & South Water St,Subscriber,Male,1963
3/9/2017 9:15,3/9/2017 9:18,197,Clark St & Lake St,Rush St & Hubbard St,Subscriber,Male,1986
3/22/2017 6:54,3/22/2017 6:59,302,Larrabee St & Division St,Clark St & Elm St,Subscriber,Female,1990
2/21/2017 17:51,2/21/2017 17:55,191,Ashland Ave & Division St,Damen Ave & Division St,Subscriber,Male,1979
3/13/2017 13:19,3/13/2017 13:27,489,LaSalle St & Washington St,Sangamon St & Washington Blvd (*),Subscriber,Male,1972
4/4/2017 23:12,4/4/2017 23:25,811,Sheffield Ave & Webster Ave,Halsted St & Roscoe St,Subscriber,Male,1990
4/5/2017 19:28,4/5/2017 19:35,439,Orleans St & Merchandise Mart Plaza,Clinton St & Washington Blvd,Subscriber,Male,1957
5/15/2017 15:49,5/15/2017 15:57,459,Southport Ave & Irving Park Rd,Lincoln Ave & Roscoe St,Subscriber,Male,1962
2/18/2017 15:23,2/18/2017 15:54,1873,Central St & Girard Ave,Central St & Girard Ave,Subscriber,Male,1982
4/2/2017 13:21,4/2/2017 13:30,578,Kingsbury St & Kinzie St,Wells St & Elm St,Subscriber,Male,1965
6/20/2017 11:38,6/20/2017 11:51,816,State St & Pearson St,Clinton St & Madison St,Subscriber,Male,1987
2/1/2017 8:49,2/1/2017 9:06,1045,Clinton St & 18th St,Clinton St & Washington Blvd,Subscriber,Female,1985
4/11/2017 11:22,4/11/2017 11:40,1060,Loomis St & Jackson Blvd,Clark St & Lake St,Subscriber,Male,1974
5/21/2017 12:07,5/21/2017 12:13,359,Orleans St & Merchandise Mart Plaza,Green St & Randolph St,Subscriber,Male,1991
6/28/2017 21:07,6/28/2017 21:21,873,Paulina Ave & North Ave,Troy St & North Ave,Subscriber,Female,1994
2/8/2017 17:33,2/8/2017 17:38,314,Wabash Ave & 16th St,Wabash Ave & Roosevelt Rd,Subscriber,Female,1984
6/24/2017 21:58,6/24/2017 22:22,1422,Adler Planetarium,State St & Randolph St,Customer,,
5/23/2017 8:18,5/23/2017 8:33,905,Ogden Ave & Race Ave,Daley Center Plaza,Subscriber,Female,1984
6/7/2017 12:30,6/7/2017 12:44,844,Columbus Dr & Randolph St,Clinton St & Jackson Blvd,Subscriber,Male,1957
4/4/2017 14:12,4/4/2017 14:16,237,California Ave & Milwaukee Ave,Stave St & Armitage Ave,Subscriber,Male,1957
2/26/2017 17:14,2/26/2017 17:29,889,Sedgwick St & North Ave,Halsted St & Wrightwood Ave,Subscriber,Female,1993
3/29/2017 6:57,3/29/2017 7:03,354,Oakley Ave & Irving Park Rd,Talman Ave & Addison St,Subscriber,Male,1979
6/27/2017 16:32,6/27/2017 16:35,187,Canal St & Madison St,LaSalle St & Washington St,Subscriber,Male,1980
4/4/2017 22:47,4/4/2017 22:51,237,Sheffield Ave & Webster Ave,Larrabee St & Webster Ave,Subscriber,Male,1964
6/3/2017 15:33,6/3/2017 17:00,5216,Streeter Dr & Grand Ave,Kedzie Ave & Milwaukee Ave,Customer,,
2/8/2017 12:05,2/8/2017 12:12,419,Franklin St & Lake St,Larrabee St & Kingsbury St,Subscriber,Male,1982
6/18/2017 12:12,6/18/2017 12:14,169,Clinton St & Roosevelt Rd,Halsted St & Roosevelt Rd,Subscriber,Male,1986
4/9/2017 14:55,4/9/2017 15:17,1317,Theater on the Lake,Lake Shore Dr & Belmont Ave,Customer,,
3/2/2017 13:43,3/2/2017 13:47,258,Broadway & Berwyn Ave,Clark St & Berwyn Ave,Customer,,
6/14/2017 9:14,6/14/2017 9:33,1166,Clark St & Winnemac Ave,Damen Ave & Wellington Ave,Subscriber,Female,1986
3/24/2017 13:06,3/24/2017 13:10,247,Broadway & Berwyn Ave,Clark St & Berwyn Ave,Subscriber,Female,1961
1/23/2017 7:11,1/23/2017 7:25,848,Wells St & Concord Ln,Mies van der Rohe Way & Chicago Ave,Subscriber,Female,1975
6/5/2017 6:45,6/5/2017 6:59,888,LaSalle St & Jackson Blvd,Cityfront Plaza Dr & Pioneer Ct,Subscriber,Male,1962
1/24/2017 18:53,1/24/2017 19:07,819,Desplaines St & Jackson Blvd,Wentworth Ave & Archer Ave,Subscriber,Male,1974
6/11/2017 13:36,6/11/2017 13:46,552,Orleans St & Merchandise Mart Plaza,LaSalle St & Illinois St,Customer,,
4/10/2017 17:31,4/10/2017 17:56,1446,Peoria St & Jackson Blvd,Aberdeen St & Jackson Blvd,Subscriber,Male,1991
5/13/2017 14:02,5/13/2017 14:14,717,Milwaukee Ave & Rockwell St,Greenview Ave & Fullerton Ave,Subscriber,Male,1990
